sysid,topid,name,level,sublevel,subcount,subcountall,登录用户名,身份证号码,状态,用户类别,手机号码,账户创建时间,已完成赠与次数,已完成赠与总额,已完成受助次数,已完成受助总额,已支出善种子,剩余善种子,已支出善心币,剩余善心币,已支出善金币,剩余善金币,出局钱包已支出,出局钱包剩余,管理钱包已支出,管理钱包剩余,接单钱包已支出,接单钱包剩余,特困钱包已支出,特困钱包剩余,贫穷钱包已支出,贫穷钱包剩余,小康钱包已支出,小康钱包剩余,德善钱包已支出,德善钱包剩余,富人钱包已支出,富人钱包剩余,大德钱包已支出,大德钱包剩余,开户行,银行账号,地址
1,0,彭祥*,0,7,9,133,pengxt,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,174000,12,209100,12,0,42,1,20,5470,87600,0,3200,490,0,0,0,0,13500,3500,108000,0,0,0,0,0,0,0,交通银行福建省宁德分行营业部,6227123456789012345,福建省宁德市蕉城区鹤峰路48号
2,1,宋*成,2,2,6,25,sfc991,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,14,57900,80,0,430,18,100,5140,27900,0,3600,240,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,工行新疆乌鲁木齐市新华南路支行,6227123456789012345,新疆库尔勒市交通东8号12号楼1单元302
3,1,苏吉*,2,6,6,99,sjh618,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,39000,12,47700,3,0,20,0,0,4720,23400,0,2400,1020,0,0,0,0,29100,0,0,0,0,0,0,0,0,0,中国工商银行,6227123456789012345,广州省广州市聚源街50号凯翔乐食堂
4,0,史*元,0,3,9,27,king1314szyuan,430123456789012345,未激活,普通用户,13412345678,2016年10月19日,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,NULL,6227123456789012345,NULL
5,0,姚元*,0,1,9,9,15066257904,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,51700,1,0,15,0,0,2840,27300,0,1000,440,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,中国农业银行,6227123456789012345,山东省菏泽市
200006,1,艾*比,2,0,0,0,king1314mhmt8,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,15,45000,14,54600,0,0,16,0,0,1500,27300,0,0,0,0,0,0,0,30900,0,0,0,0,0,0,0,0,0,农业银行,6227123456789012345,新疆托克逊县碧水云天小区17号楼二单元602房子
200007,1,刘敏*,2,0,0,0,lqs12345,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,50400,0,0,15,0,0,1400,23400,0,0,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,0,中国银行,6227123456789012345,湖南省衡阳县井头镇孟山村独家组
200008,1,王*如,2,0,0,0,wangjunru888,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,13,120000,12,113700,9,0,31,0,3500,2780,31200,0,4020,870,0,0,0,0,8400,0,111600,0,0,0,0,0,0,0,交通银行,6227123456789012345,河南省新乡市红旗渠小店镇北街村
200009,1,罗*茜,2,0,0,0,lx687230,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,14,42000,13,56400,17,0,33,0,11630,450,27300,0,7500,3180,0,0,0,0,34200,0,0,0,0,0,0,0,0,0,建设银行（西安长安区支行）,6227123456789012345,西安市长安区韦曲西韦村长安新街120号
200010,1,杨婷*,2,0,0,0,bo5942,430123456789012345,已激活,普通用户,13412345678,2016年10月19日,9,108000,8,95400,0,0,13,0,0,1290,39900,0,0,90,0,0,0,0,19500,0,72000,0,0,0,0,0,0,0,农业银行,6227123456789012345,福建省莆田市仙游县榜头镇下明村
